Date,Open,High,Low,Close,Adj Close,Volume
2020-08-12,64.389999,65.169998,63.509998,63.560001,62.564575,46000
2020-08-13,63.549999,64.220001,63.000000,63.570000,62.574417,36500
2020-08-14,63.450001,64.019997,62.490002,63.299999,62.308647,81900
2020-08-17,63.139999,63.700001,63.080002,63.400002,62.407082,43700
2020-08-18,63.459999,64.110001,62.459999,63.750000,62.751598,54500
2020-08-19,64.029999,64.629997,63.490002,64.010002,63.007530,67600
2020-08-20,63.389999,64.680000,63.360001,63.910000,62.909092,51100
2020-08-21,63.939999,63.939999,62.009998,62.119999,61.147125,61600
2020-08-24,62.520000,63.320000,61.770000,63.240002,62.249588,57800
2020-08-25,63.680000,63.680000,62.070000,62.270000,61.294777,89500
2020-08-26,61.959999,62.880001,61.889999,62.509998,61.531017,48500
2020-08-27,62.750000,64.980003,62.750000,64.720001,63.706409,97000
2020-08-28,65.000000,65.000000,63.860001,64.080002,63.076435,50900
2020-08-31,63.930000,64.099998,63.180000,63.470001,62.475986,92500
2020-09-01,63.590000,64.339996,61.009998,64.120003,63.115807,83200
2020-09-02,64.360001,64.989998,63.080002,64.010002,63.007530,94200
2020-09-03,64.139999,65.150002,62.680000,63.349998,62.357864,95200
2020-09-04,63.740002,64.589996,61.759998,62.779999,61.796791,100600
2020-09-08,62.279999,63.389999,59.419998,59.549999,58.617374,191600
2020-09-09,59.990002,65.529999,58.250000,65.000000,63.982025,239000
2020-09-10,65.010002,66.580002,64.639999,65.839996,64.808861,151400
2020-09-11,66.040001,66.040001,62.080002,63.580002,62.584263,220000
2020-09-14,63.880001,66.269997,63.880001,65.940002,64.907303,134900
2020-09-15,66.400002,66.900002,65.400002,65.839996,64.808861,131300
2020-09-16,66.080002,67.339996,65.889999,66.050003,65.015579,163400
2020-09-17,65.379997,67.000000,65.019997,66.540001,65.497910,118300
2020-09-18,67.180000,69.540001,66.650002,68.370003,67.299248,372200
2020-09-21,67.370003,67.680000,64.309998,65.449997,64.424973,124000
2020-09-22,65.570000,68.459999,65.570000,67.180000,66.127884,155100
2020-09-23,67.220001,67.790001,65.790001,66.269997,65.232132,140900
2020-09-24,66.470001,67.650002,65.900002,67.269997,66.216469,112200
2020-09-25,67.290001,68.449997,67.290001,68.129997,67.063004,137900
2020-09-28,68.860001,68.959999,66.540001,67.040001,65.990074,107700
2020-09-29,67.080002,67.620003,64.930000,65.489998,64.464348,119400
2020-09-30,65.519997,66.760002,65.519997,66.269997,65.232132,124600
2020-10-01,66.570000,67.769997,66.019997,67.639999,66.580681,125700
2020-10-02,66.580002,68.320000,66.489998,67.760002,66.698799,71300
2020-10-05,68.199997,69.209999,67.470001,68.809998,67.732353,95700
2020-10-06,69.410004,69.489998,67.540001,68.300003,67.230347,213700
2020-10-07,68.440002,68.739998,66.279999,67.919998,66.856293,145800
2020-10-08,68.669998,69.040001,66.910004,68.599998,67.525642,96900
2020-10-09,69.029999,69.099998,68.440002,68.620003,67.545334,68400
2020-10-12,68.769997,69.489998,68.519997,69.029999,67.948906,101200
2020-10-13,68.559998,69.320000,67.820000,68.570000,67.496109,179900
2020-10-14,68.440002,69.169998,68.330002,68.419998,67.348457,90400
2020-10-15,67.550003,70.440002,67.550003,69.279999,68.194992,98000
2020-10-16,69.120003,70.070000,69.050003,69.730003,68.637947,84900
2020-10-19,69.750000,70.330002,69.099998,69.389999,68.303268,79900
2020-10-20,69.730003,70.360001,68.750000,69.129997,68.047340,62800
2020-10-21,69.290001,70.089996,68.720001,69.110001,68.027657,45900
2020-10-22,69.370003,70.190002,68.750000,69.680000,68.588730,65400
2020-10-23,69.989998,70.239998,68.779999,69.680000,68.588730,56300
2020-10-26,69.019997,69.550003,67.989998,68.739998,67.663452,49300
2020-10-27,69.080002,69.889999,68.500000,68.620003,67.545334,43900
2020-10-28,67.660004,68.000000,65.320000,65.419998,64.395447,57900
2020-10-29,66.250000,66.989998,65.050003,66.510002,65.468376,62900
2020-10-30,66.059998,67.529999,66.059998,67.129997,66.078659,118700
2020-11-02,67.970001,68.690002,67.360001,67.970001,66.905510,64200
2020-11-03,68.769997,69.349998,67.500000,68.080002,67.013786,54700
2020-11-04,68.080002,70.209999,67.959999,68.849998,67.771729,54500
2020-11-05,69.139999,70.330002,69.139999,69.330002,68.244209,47100
2020-11-06,69.000000,69.849998,68.199997,68.989998,67.909531,61700
2020-11-09,70.050003,74.879997,70.050003,73.040001,71.896111,137500
2020-11-10,73.690002,75.320000,73.260002,74.529999,73.362770,94000
2020-11-11,74.760002,74.760002,71.980003,73.430000,72.279999,64500
2020-11-12,72.110001,72.110001,70.059998,70.830002,70.830002,65800
2020-11-13,71.470001,72.110001,69.690002,71.559998,71.559998,73900
2020-11-16,72.980003,73.680000,71.610001,72.769997,72.769997,92400
2020-11-17,72.269997,73.959999,71.190002,73.250000,73.250000,66600
